id,key,filename,content_type,metadata,byte_size,checksum,created_at
594,ntj5mck3b7bpb5w917magk3ls8r9,dh-hac-hdw1200rp-0360b-s3a.mp4,video/mp4,"{""identified"":true,""width"":1280.0,""height"":720.0,""duration"":25.425425,""display_aspect_ratio"":[16,9],""analyzed"":true}",4070657,oROuTtnWqMZWEnoBSRHlJQ==,2020-09-08 09:55:59.093640
595,oyldfhhjx3tzuim366117tpmqgh0,dh-hac-hdw1200rp-vf.mp4,video/mp4,"{""identified"":true,""width"":1280.0,""height"":720.0,""duration"":24.958292,""display_aspect_ratio"":[16,9],""analyzed"":true}",4014095,/WkY5COREwe8gwrIOM196A==,2020-09-08 09:57:14.861689
596,nihhha2eba9d0rxh7grc8fxtceb4,dh-hac-hdw1200rp-vf.mp4,video/mp4,"{""identified"":true,""width"":1280.0,""height"":720.0,""duration"":24.958292,""display_aspect_ratio"":[16,9],""analyzed"":true}",4014095,/WkY5COREwe8gwrIOM196A==,2020-09-08 09:57:15.114748
597,g2etx9irg8cjsc4ecptpc1crz5aq,DH-HAC-HDBW2220R-VF.jpg,image/jpeg,"{""identified"":true,""width"":352,""height"":301,""analyzed"":true}",30584,JU5E04oxqYPRBAOzWczHyg==,2020-09-08 09:57:54.935472
598,zigckqydrul2xttm32a4fo9jqrbc,DH-HAC-HDW1220GP-M.jpg,image/jpeg,"{""identified"":true,""width"":352,""height"":301,""analyzed"":true}",12694,SbGwZganW26dufCXpY/i3A==,2020-09-08 10:15:45.466079
599,4cjekzqeez14v8us052s8953heo8,dh-hac-hdw1220gp-0360b.mp4,video/mp4,"{""identified"":true,""width"":1280.0,""height"":720.0,""duration"":26.39306,""display_aspect_ratio"":[16,9],""analyzed"":true}",3978027,7iXPlv8ZALvm7eMzrrTjnQ==,2020-09-08 10:16:05.380117
600,yakd43n1wozi24ix4kskuzki9jp7,dh-hac-hdw1220gp-0360b.mp4,video/mp4,"{""identified"":true,""width"":1280.0,""height"":720.0,""duration"":26.39306,""display_aspect_ratio"":[16,9],""analyzed"":true}",3978027,7iXPlv8ZALvm7eMzrrTjnQ==,2020-09-08 10:16:05.564846
601,tn08h3fjsmty7ati1yz7x0hfkriw,dh-hac-hdw1220rp-vf-ire6.mp4,video/mp4,"{""identified"":true,""width"":1280.0,""height"":720.0,""duration"":25.425425,""display_aspect_ratio"":[16,9],""analyzed"":true}",3534425,VhxmdKQ3gsQ+n/YpRoRPYw==,2020-09-08 10:19:56.278794
602,0geg3z7zqrw33cgzbgixw87l1pib,dh-hac-hdw1220rp-vf-ire6.mp4,video/mp4,"{""identified"":true,""width"":1280.0,""height"":720.0,""duration"":25.425425,""display_aspect_ratio"":[16,9],""analyzed"":true}",3534425,VhxmdKQ3gsQ+n/YpRoRPYw==,2020-09-08 10:19:56.484776
603,rhh7bbqu8vl9p480hxatshbqeasx,DH-HAC-HFW1200R-VF-IRE6.jpg,image/jpeg,"{""identified"":true,""width"":352,""height"":301,""analyzed"":true}",7734,4VHBRv2snZHRlfLm7wA+gg==,2020-09-08 10:20:28.983260
604,ot4bm2umjkp02mlp6pvl9fzl3fmf,HAC-HDW2802TP-A.jpg,image/jpeg,"{""identified"":true,""width"":352,""height"":301,""analyzed"":true}",9078,7xOpmw1YSjTlw3Fx/6e16w==,2020-09-08 10:32:55.840642
605,dpp3ncvyxafybznoh2a9jgaycili,HAC-HFW1100MP-S3.jpg,image/jpeg,"{""identified"":true,""width"":352,""height"":301,""analyzed"":true}",8881,ZVhkpwQiwpOY6RVpx64y9Q==,2020-09-08 10:40:06.604099
606,ezqx81d391tvthhq3yl1r9in9ze9,dh-hac-hfw1200rp-0360b-s3a.mp4,video/mp4,"{""identified"":true,""width"":1280.0,""height"":720.0,""duration"":25.425425,""display_aspect_ratio"":[16,9],""analyzed"":true}",3974434,JXH2Qt4H32GzyzMIikiqNg==,2020-09-08 10:40:24.814580
607,2kmygekes0r5rbgw0vdl2ldx85c2,dh-hac-hfw1200rp-0360b-s3a.mp4,video/mp4,"{""identified"":true,""width"":1280.0,""height"":720.0,""duration"":25.425425,""display_aspect_ratio"":[16,9],""analyzed"":true}",3974434,JXH2Qt4H32GzyzMIikiqNg==,2020-09-08 10:40:24.997874
608,x5o7pzsxm7d4mf68okjsczlhl76b,dh-hac-hfw1200tlp-a.mp4,video/mp4,"{""identified"":true,""width"":1280.0,""height"":720.0,""duration"":25.425425,""display_aspect_ratio"":[16,9],""analyzed"":true}",3015151,nFDMwAJFXl17j6xWmwP+dQ==,2020-09-08 10:42:43.545021
609,3t6u34f88dlcg2j41yzfwi1t4cte,dh-hac-hfw1200tlp-a.mp4,video/mp4,"{""identified"":true,""width"":1280.0,""height"":720.0,""duration"":25.425425,""display_aspect_ratio"":[16,9],""analyzed"":true}",3015151,nFDMwAJFXl17j6xWmwP+dQ==,2020-09-08 10:42:43.818200
610,fgwrs2sjmeoa2tmfq13f53dpg8nq,HAC-HFW1200TLP-S4.jpg,image/jpeg,"{""identified"":true,""width"":352,""height"":301,""analyzed"":true}",6713,8yI17bR/Dvic+EWQKtaAIA==,2020-09-08 10:43:06.365573
612,vdfuhlnqd9itk8kx1l7sx1lhsx3m,dh-hac-hmw3200p.mp4,video/mp4,"{""identified"":true,""width"":1280.0,""height"":720.0,""duration"":25.425425,""display_aspect_ratio"":[16,9],""analyzed"":true}",4021405,5hQtLsSgrfSt80gpjw5zLg==,2020-09-08 10:45:39.886537
613,yi6udan5o7yzeaz6vswyjscsmwm5,dh-hac-hmw3200p.mp4,video/mp4,"{""identified"":true,""width"":1280.0,""height"":720.0,""duration"":25.425425,""display_aspect_ratio"":[16,9],""analyzed"":true}",4021405,5hQtLsSgrfSt80gpjw5zLg==,2020-09-08 10:45:40.092974
614,akxrhr6n5k52o3ynfh8ctnzkhgue,dh-hac-lc1220tp-th-0280b.mp4,video/mp4,"{""identified"":true,""width"":1280.0,""height"":720.0,""duration"":24.958292,""display_aspect_ratio"":[16,9],""analyzed"":true}",3357047,9CbpQP8nXzmrwoHlvbuaSw==,2020-09-08 11:13:45.707660
615,7c53agkxe39e78hhr7g5ibngzrun,dh-hac-lc1220tp-th-0280b.mp4,video/mp4,"{""identified"":true,""width"":1280.0,""height"":720.0,""duration"":24.958292,""display_aspect_ratio"":[16,9],""analyzed"":true}",3357047,9CbpQP8nXzmrwoHlvbuaSw==,2020-09-08 11:13:45.930620
618,cy6zmv1lmhpbpkbuvrsv7lk0dw83,DH-HAC-me1200bp-pir.mp4,video/mp4,"{""identified"":true,""width"":1280.0,""height"":720.0,""duration"":25.425425,""display_aspect_ratio"":[16,9],""analyzed"":true}",3988294,DNYEpJ9EFtB+kF2Rv5T80w==,2020-09-08 12:25:12.967515
619,124e9x6u3cgx9b4dy1i6tw3cc3w4,DH-HAC-me1200bp-pir.mp4,video/mp4,"{""identified"":true,""width"":1280.0,""height"":720.0,""duration"":25.425425,""display_aspect_ratio"":[16,9],""analyzed"":true}",3988294,DNYEpJ9EFtB+kF2Rv5T80w==,2020-09-08 12:25:13.161226
620,tocevcy6uix08kcr0ju2vdcdpnk4,dh-hac-nfw1220slp-0280b.mp4,video/mp4,"{""identified"":true,""width"":1280.0,""height"":720.0,""duration"":25.425425,""display_aspect_ratio"":[16,9],""analyzed"":true}",4084251,HUZkUeilkI5mfyJSrCqHFQ==,2020-09-08 12:26:51.268225
621,cnrtpqjb0jmlx9d38nsyf7zfhsnd,dh-hac-nfw1220slp-0280b.mp4,video/mp4,"{""identified"":true,""width"":1280.0,""height"":720.0,""duration"":25.425425,""display_aspect_ratio"":[16,9],""analyzed"":true}",4084251,HUZkUeilkI5mfyJSrCqHFQ==,2020-09-08 12:26:51.494871
622,jq3kjelqcxuuy4da33lno1uh23kg,DH-HAC-HFW1220SL.jpg,image/jpeg,"{""identified"":true,""width"":352,""height"":301,""analyzed"":true}",6083,k3TRtDaNVCPJrORwVBLt5A==,2020-09-08 12:27:21.309957
624,21emnsbj3889x69abqd54tls8dbb,dh-hap120.mp4,video/mp4,"{""identified"":true,""width"":1280.0,""height"":720.0,""duration"":25.425425,""display_aspect_ratio"":[16,9],""analyzed"":true}",3315929,DZhP/Z7PNCjxf3SACOIAag==,2020-09-08 12:35:21.957565
625,4x187hfivrh191i0pt0ucij6lmmy,dh-hap120.mp4,video/mp4,"{""identified"":true,""width"":1280.0,""height"":720.0,""duration"":25.425425,""display_aspect_ratio"":[16,9],""analyzed"":true}",3315929,DZhP/Z7PNCjxf3SACOIAag==,2020-09-08 12:35:22.172657
626,551m5guw5r1x9cc2v8t42r2kuzao,dhi-asa1222e.mp4,video/mp4,"{""identified"":true,""width"":1280.0,""height"":720.0,""duration"":25.425425,""display_aspect_ratio"":[16,9],""analyzed"":true}",3531049,01veOoj12FyTfVp5BteCkQ==,2020-09-08 13:12:20.693797
627,zsurb5okrh0e4rc6iy0cas3uqrtq,dhi-asa1222e.mp4,video/mp4,"{""identified"":true,""width"":1280.0,""height"":720.0,""duration"":25.425425,""display_aspect_ratio"":[16,9],""analyzed"":true}",3531049,01veOoj12FyTfVp5BteCkQ==,2020-09-08 13:12:20.831797
629,60v0mtctaqqt5iz6kibus6up748z,DHI-ASA2212A.jpg,image/jpeg,"{""identified"":true,""width"":352,""height"":301,""analyzed"":true}",11813,YUeCi+W5qTM/G/ICm17nCA==,2020-09-08 13:19:46.202301
630,nnp2s8qndosl0acwqutsgnioywab,dhi-asa2212a.mp4,video/mp4,"{""identified"":true,""width"":1280.0,""height"":720.0,""duration"":25.425425,""display_aspect_ratio"":[16,9],""analyzed"":true}",3309250,eo+9PanqAFqJLdeygcvQww==,2020-09-08 13:20:09.930423
631,n92xcmm1riwl59jffokcls0ljkrt,dhi-asa2212a.mp4,video/mp4,"{""identified"":true,""width"":1280.0,""height"":720.0,""duration"":25.425425,""display_aspect_ratio"":[16,9],""analyzed"":true}",3309250,eo+9PanqAFqJLdeygcvQww==,2020-09-08 13:20:10.129027
632,g43veftvk10ytkrk64raoj2pearw,dhi-asl210k-l.mp4,video/mp4,"{""identified"":true,""width"":1280.0,""height"":720.0,""duration"":25.425425,""display_aspect_ratio"":[16,9],""analyzed"":true}",3242178,ZNy1D+PRkNAbdu+OI2oA/g==,2020-09-08 13:42:43.327601
633,uxsv1kkb4r7a6rn2q5zy6a2qj4ox,dhi-asl210k-l.mp4,video/mp4,"{""identified"":true,""width"":1280.0,""height"":720.0,""duration"":25.425425,""display_aspect_ratio"":[16,9],""analyzed"":true}",3242178,ZNy1D+PRkNAbdu+OI2oA/g==,2020-09-08 13:42:43.569572
636,lyk6v515gqt1v7y8c1butr49enr5,dhi-asm100.mp4,video/mp4,"{""identified"":true,""width"":1280.0,""height"":720.0,""duration"":25.425425,""display_aspect_ratio"":[16,9],""analyzed"":true}",3391585,oKtXOv7V3YukD4sX33itow==,2020-09-08 13:54:40.077974
637,jj4t5hz9zfabfwqn4zpmas6b1nkz,dhi-asm100.mp4,video/mp4,"{""identified"":true,""width"":1280.0,""height"":720.0,""duration"":25.425425,""display_aspect_ratio"":[16,9],""analyzed"":true}",3391585,oKtXOv7V3YukD4sX33itow==,2020-09-08 13:54:40.281187
638,ld5wx1gsasomehyxa3xtf8wqc959,dhi-asr1102a(v2).mp4,video/mp4,"{""identified"":true,""width"":1280.0,""height"":720.0,""duration"":25.425425,""display_aspect_ratio"":[16,9],""analyzed"":true}",3442073,xc3kkHxyVwmjJz2W72lg9g==,2020-09-08 14:15:11.657997
639,kfhor8g7gk76i6ciwhby1q32b8k9,dhi-asr1102a(v2).mp4,video/mp4,"{""identified"":true,""width"":1280.0,""height"":720.0,""duration"":25.425425,""display_aspect_ratio"":[16,9],""analyzed"":true}",3442073,xc3kkHxyVwmjJz2W72lg9g==,2020-09-08 14:15:11.842415
641,vi124ri8cxsbtq4hrpd8f2xkt3d1,DHI-ITC237-PU1B-IR.jpg,image/jpeg,"{""identified"":true,""width"":352,""height"":301,""analyzed"":true}",8294,57Do7DqSJIap2W1XSRMdEQ==,2020-09-08 14:17:36.297597
642,vuci85s7jzw2yj0sh0e0qchcft64,dhi-itc237-pu1b-ir.mp4,video/mp4,"{""identified"":true,""width"":1280.0,""height"":720.0,""duration"":25.425425,""display_aspect_ratio"":[16,9],""analyzed"":true}",3338198,G+mUvpWNyjRYG2E/iPgQTg==,2020-09-08 14:18:19.268085
643,4d3xpnct4b23r2q1y68fyi2dz6rc,dhi-itc237-pu1b-ir.mp4,video/mp4,"{""identified"":true,""width"":1280.0,""height"":720.0,""duration"":25.425425,""display_aspect_ratio"":[16,9],""analyzed"":true}",3338198,G+mUvpWNyjRYG2E/iPgQTg==,2020-09-08 14:18:19.466385
644,s2je4ddyfo5e90xt0uwrpf9y9qjv,dhi-nkb1000.mp4,video/mp4,"{""identified"":true,""width"":1280.0,""height"":720.0,""duration"":25.925926,""display_aspect_ratio"":[16,9],""analyzed"":true}",2875005,t3//9km4EbpykfeehMOseQ==,2020-09-08 14:21:45.212730
