id,name,record_type,record_id,blob_id,created_at
198,video,Spree::Product,2387,198,2020-08-14 09:08:49.217923
200,video,Spree::Product,1074,200,2020-08-14 09:11:13.310091
201,attachment,Spree::Asset,138,201,2020-08-14 09:11:33.217793
202,attachment,Spree::Asset,139,202,2020-08-14 09:29:32.646256
204,video,Spree::Product,2388,204,2020-08-14 09:30:08.790229
206,video,Spree::Product,2389,206,2020-08-14 09:33:58.129978
210,video,Spree::Product,2390,210,2020-08-14 09:38:02.627679
212,video,Spree::Product,2391,212,2020-08-14 09:39:16.122200
213,attachment,Spree::Asset,142,213,2020-08-14 09:40:05.130552
214,attachment,Spree::Asset,143,214,2020-08-14 09:42:46.772430
216,video,Spree::Product,2392,216,2020-08-14 09:43:08.466629
218,video,Spree::Product,2393,218,2020-08-14 09:45:27.758206
220,attachment,Spree::Asset,145,220,2020-08-14 09:47:48.989694
222,video,Spree::Product,2394,222,2020-08-14 09:48:20.562045
224,video,Spree::Product,2395,224,2020-08-14 09:50:36.146065
225,attachment,Spree::Asset,146,225,2020-08-14 09:50:59.025027
226,attachment,Spree::Asset,147,226,2020-08-14 09:54:26.149794
228,video,Spree::Product,2396,228,2020-08-14 09:54:58.279117
230,video,Spree::Product,2397,230,2020-08-14 10:00:24.262038
231,attachment,Spree::Asset,148,231,2020-08-14 10:00:44.223175
234,attachment,Spree::Asset,149,234,2020-08-14 10:11:27.634125
236,video,Spree::Product,2398,236,2020-08-14 10:11:41.408133
238,video,Spree::Product,2399,238,2020-08-14 10:15:23.302522
240,attachment,Spree::Asset,151,240,2020-08-14 10:18:43.319474
242,video,Spree::Product,2400,242,2020-08-14 10:18:55.241623
244,video,Spree::Product,2401,244,2020-08-14 10:20:50.617128
245,attachment,Spree::Asset,152,245,2020-08-14 10:21:54.036795
248,video,Spree::Product,1159,248,2020-08-14 10:26:03.135072
250,video,Spree::Product,1153,250,2020-08-14 10:29:39.526055
251,attachment,Spree::Asset,154,251,2020-08-14 10:29:52.219885
252,attachment,Spree::Asset,155,252,2020-08-14 10:33:17.848080
254,video,Spree::Product,1161,254,2020-08-14 10:33:29.758155
256,video,Spree::Product,1140,256,2020-08-14 10:36:33.256306
260,video,Spree::Product,1158,260,2020-08-14 10:39:56.472611
262,video,Spree::Product,2402,262,2020-08-14 11:13:07.482197
263,attachment,Spree::Asset,158,263,2020-08-14 11:13:18.776112
264,attachment,Spree::Asset,159,264,2020-08-14 11:16:05.394922
266,video,Spree::Product,2403,266,2020-08-14 11:16:16.735234
268,video,Spree::Product,2404,268,2020-08-14 11:20:11.257200
270,attachment,Spree::Asset,161,270,2020-08-14 11:25:48.872139
272,video,Spree::Product,1307,272,2020-08-14 11:26:04.007221
274,video,Spree::Product,2405,274,2020-08-14 11:43:53.446123
275,attachment,Spree::Asset,162,275,2020-08-14 11:50:06.966604
277,video,Spree::Product,1355,277,2020-08-17 08:46:35.376315
278,attachment,Spree::Asset,163,278,2020-08-17 08:46:55.904131
279,attachment,Spree::Asset,164,279,2020-08-17 08:47:42.357802
281,video,Spree::Product,1308,281,2020-08-17 08:47:57.026116
283,video,Spree::Product,1328,283,2020-08-17 08:48:51.606763
284,attachment,Spree::Asset,165,284,2020-08-17 08:49:03.810370
285,attachment,Spree::Asset,166,285,2020-08-17 08:49:45.336348
287,video,Spree::Product,1304,287,2020-08-17 08:50:12.963536
289,video,Spree::Product,1400,289,2020-08-17 08:51:43.394151
291,attachment,Spree::Asset,168,291,2020-08-17 08:52:30.593089
293,video,Spree::Product,1325,293,2020-08-17 08:52:41.203081
